r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.6576   1.87707678e+32   1.39208336   7.3831054e+13   -0.658327581   1.54480893   0.0437736555   1171.82047   229.105671   40   39.9538105   0.00149421031   0.0352136287   948.9555   -4.93384942e+14   -7.82338951e-06
11.65885   1.85769432e+32   1.3921623   7.3215452e+13   -0.658346838   1.54476642   0.0434097315   1169.71584   229.061072   40   39.9557277   0.00148445392   0.0349073233   948.928308   -4.91561857e+14   -7.78722971e-06
11.6601   1.83847781e+32   1.39224059   7.26021493e+13   -0.658366092   1.54472353   0.0430471552   1167.58453   229.004415   40   39.9575507   0.00147474223   0.0346025281   948.901073   -4.89704701e+14   -7.75183049e-06
11.66135   1.81942659e+32   1.39231824   7.19911902e+13   -0.658385342   1.54468026   0.0426859529   1165.42763   228.935921   40   39.9592844   0.00146507434   0.0342992581   948.873795   -4.8781189e+14   -7.7171416e-06
11.6626   1.80053996e+32   1.39239526   7.13826196e+13   -0.65840459   1.54463662   0.0423261513   1163.24626   228.855814   40   39.9609337   0.00145544938   0.0339975285   948.846475   -4.858829e+14   -7.68312804e-06
11.66385   1.78181724e+32   1.39247164   7.0776483e+13   -0.658423834   1.54459261   0.0419677771   1161.04154   228.764324   40   39.9625031   0.00144586652   0.0336973548   948.819112   -4.83917296e+14   -7.64975496e-06
11.6651   1.76325772e+32   1.39254738   7.01728264e+13   -0.658443074   1.54454822   0.0416108579   1158.81456   228.661681   40   39.9639968   0.00143632499   0.0333987529   948.791708   -4.8191444e+14   -7.61698289e-06
11.66635   1.74486069e+32   1.3926225   6.95716969e+13   -0.658462312   1.54450347   0.0412554214   1156.56646   228.548123   40   39.9654187   0.00142682406   0.0331017388   948.764262   -4.79873506e+14   -7.58476819e-06
11.6676   1.72662541e+32   1.39269698   6.89731426e+13   -0.658481546   1.54445835   0.0409014962   1154.29835   228.423887   40   39.9667727   0.00141736307   0.0328063293   948.736776   -4.77794035e+14   -7.55307174e-06
11.66885   1.70855114e+32   1.39277084   6.83772118e+13   -0.658500776   1.54441286   0.0405491109   1152.01134   228.289217   40   39.9680623   0.00140794138   0.0325125409   948.709249   -4.75675887e+14   -7.5218584e-06
11.6701   1.69063713e+32   1.39284408   6.77839529e+13   -0.658520003   1.54436701   0.0401982943   1149.70654   228.144355   40   39.9692908   0.00139855842   0.0322203903   948.681682   -4.7351893e+14   -7.49109199e-06
11.67135   1.6728826e+32   1.39291669   6.71934145e+13   -0.658539227   1.54432079   0.0398490751   1147.38507   227.98955   40   39.9704614   0.00138921365   0.0319298944   948.654076   -4.71322769e+14   -7.46073127e-06
11.6726   1.65528679e+32   1.39298869   6.6605646e+13   -0.658558447   1.54427422   0.0395014827   1145.04802   227.825048   40   39.971577   0.0013799066   0.03164107   948.626433   -4.69087209e+14   -7.43073712e-06
11.67385   1.63784889e+32   1.39306007   6.60206965e+13   -0.658577664   1.54422729   0.0391555462   1142.69647   227.651102   40   39.9726405   0.00137063681   0.0313539342   948.598752   -4.66812514e+14   -7.40107689e-06
11.6751   1.62056811e+32   1.39313083   6.54386147e+13   -0.658596878   1.54418   0.0388112945   1140.33152   227.467961   40   39.9736546   0.0013614039   0.0310685035   948.571034   -4.64498972e+14   -7.37171755e-06
11.67635   1.60344362e+32   1.39320099   6.4859449e+13   -0.658616088   1.54413235   0.0384687562   1137.95422   227.275879   40   39.9746217   0.00135220752   0.0307847945   948.543282   -4.62146897e+14   -7.34262582e-06
11.6776   1.58647459e+32   1.39327054   6.42832474e+13   -0.658635295   1.54408436   0.03812796   1135.56563   227.075109   40   39.9755442   0.00134304734   0.0305028233   948.515495   -4.5975658e+14   -7.31376743e-06
11.67885   1.56966018e+32   1.39333949   6.37100576e+13   -0.658654498   1.54403601   0.037788934   1133.16679   226.865904   40   39.9764244   0.0013339231   0.0302226061   948.487675   -4.57328015e+14   -7.28510294e-06
11.6801   1.55299953e+32   1.39340783   6.31399274e+13   -0.658673698   1.54398731   0.0374517068   1130.75873   226.648518   40   39.9772644   0.00132483458   0.0299441589   948.459823   -4.54861658e+14   -7.25659975e-06
11.68135   1.53649179e+32   1.39347558   6.25729034e+13   -0.658692894   1.54393827   0.0371163058   1128.34245   226.423204   40   39.9780662   0.0013157816   0.0296674972   948.43194   -4.52358471e+14   -7.22823309e-06
11.6826   1.52013606e+32   1.39354273   6.20090312e+13   -0.658712087   1.54388888   0.0367827583   1125.91894   226.190215   40   39.9788317   0.001306764   0.0293926361   948.404027   -4.49819203e+14   -7.19997457e-06
11.68385   1.50393147e+32   1.39360928   6.14483554e+13   -0.658731276   1.54383914   0.0364510908   1123.48916   225.949802   40   39.9795627   0.00129778166   0.0291195899   948.376086   -4.4724461e+14   -7.17179582e-06
11.6851   1.4878771e+32   1.39367525   6.08909197e+13   -0.658750462   1.54378907   0.036121329   1121.05406   225.702216   40   39.9802609   0.00128883451   0.0288483729   948.348118   -4.44635506e+14   -7.14366935e-06
11.68635   1.47197204e+32   1.39374064   6.03367667e+13   -0.658769645   1.54373866   0.0357934985   1118.61457   225.447706   40   39.9809279   0.00127992249   0.0285789985   948.320124   -4.41992573e+14   -7.11556564e-06
11.6876   1.45621538e+32   1.39380544   5.97859383e+13   -0.658788823   1.54368791   0.0354676241   1116.17158   225.186519   40   39.9815654   0.00127104559   0.02831148   948.292106   -4.39316396e+14   -7.08745369e-06
11.68885   1.44060617e+32   1.39386967   5.92384757e+13   -0.658807999   1.54363683   0.0351437304   1113.72597   224.918901   40   39.9821746   0.00126220385   0.0280458303   948.264065   -4.36608139e+14   -7.05931207e-06
11.6901   1.42514348e+32   1.39393331   5.86944179e+13   -0.658827171   1.54358541   0.0348218404   1111.2786   224.645094   40   39.9827571   0.00125339731   0.0277820612   948.236002   -4.33869193e+14   -7.03112342e-06
11.69135   1.40982635e+32   1.39399639   5.81538027e+13   -0.658846339   1.54353367   0.0345019767   1108.8303   224.365338   40   39.983314   0.00124462605   0.0275201839   948.20792   -4.31100676e+14   -7.00286634e-06
11.6926   1.39465381e+32   1.3940589   5.76166662e+13   -0.658865504   1.5434816   0.0341841608   1106.38185   224.079871   40   39.9838467   0.00123589015   0.0272602091   948.179818   -4.2830374e+14   -6.97452054e-06
11.69385   1.3796249e+32   1.39412084   5.70830433e+13   -0.658884665   1.5434292   0.0338684135   1103.93404   223.788927   40   39.9843564   0.00122718974   0.0270021466   948.1517   -4.25479577e+14   -6.94606696e-06
